Booking_ID;no_of_adults;no_of_children;no_of_weekend_nights;no_of_week_nights;type_of_meal_plan;required_car_parking_space;room_type_reserved;lead_time;arrival_year;arrival_month;arrival_date;market_segment_type;repeated_guest;no_of_previous_cancellations;no_of_previous_bookings_not_canceled;avg_price_per_room;no_of_special_requests;booking_status;country
INN00037;1;0;2;1;Meal Plan 1;0;Room_Type 1;34;2018;6;19;Online;0;0;0;81.0;0;Canceled;UK
INN00038;2;0;0;1;Meal Plan 1;0;Room_Type 1;289;2017;10;17;Offline;0;0;0;67.0;0;Not_Canceled;UK
INN00039;2;0;2;3;Not Selected;0;Room_Type 1;247;2018;11;19;Online;0;0;0;63.75;0;Canceled;UK
INN00040;2;0;2;1;Meal Plan 1;0;Room_Type 4;186;2018;7;30;Online;0;0;0;121.8;1;Canceled;UK
INN00041;2;0;0;4;Meal Plan 1;0;Room_Type 1;64;2018;11;1;Online;0;0;0;93.6;2;Not_Canceled;UK
INN00042;2;0;0;2;Meal Plan 1;0;Room_Type 1;35;2018;6;21;Online;0;0;0;102.0;1;Not_Canceled;UK
INN00043;3;0;2;1;Meal Plan 1;0;Room_Type 1;96;2018;4;10;Online;0;0;0;121.8;1;Not_Canceled;PL
INN00044;2;0;1;1;Not Selected;0;Room_Type 1;41;2018;6;27;Online;0;0;0;98.1;1;Canceled;UK
INN00045;2;0;0;4;Meal Plan 1;0;Room_Type 4;55;2017;11;18;Offline;0;0;0;60.0;1;Not_Canceled;PL
INN00046;2;0;0;3;Meal Plan 1;0;Room_Type 1;146;2017;12;29;Offline;0;0;0;75.0;0;Not_Canceled;PL
INN00047;1;0;0;2;Meal Plan 1;0;Room_Type 1;32;2017;11;20;Offline;0;0;0;73.0;0;Not_Canceled;PL
INN00048;2;0;0;1;Meal Plan 2;0;Room_Type 1;55;2018;4;6;Offline;0;0;0;104.0;0;Not_Canceled;PL
INN00049;2;0;0;4;Not Selected;0;Room_Type 1;57;2018;11;1;Online;0;0;0;79.2;1;Not_Canceled;PL
INN00050;1;0;1;3;Meal Plan 1;0;Room_Type 4;7;2018;12;29;Online;0;0;0;125.8;2;Not_Canceled;UK
INN00051;1;0;2;5;Not Selected;0;Room_Type 1;124;2018;5;30;Online;0;0;0;87.95;0;Not_Canceled;UK
INN00052;2;0;2;2;Meal Plan 2;0;Room_Type 1;169;2018;4;22;Online;0;0;0;106.0;0;Canceled;UK
INN00053;1;0;1;2;Meal Plan 1;0;Room_Type 1;6;2018;5;16;Online;0;0;0;136.67;1;Not_Canceled;UK
INN00054;2;0;0;4;Meal Plan 1;0;Room_Type 4;51;2017;11;11;Offline;0;0;0;60.0;1;Not_Canceled;UK
INN00055;2;0;1;0;Not Selected;0;Room_Type 1;13;2018;6;13;Online;0;0;0;89.0;2;Not_Canceled;PL
INN00056;2;0;1;3;Meal Plan 1;0;Room_Type 1;100;2018;5;19;Online;0;0;0;136.0;1;Not_Canceled;UK
INN00057;2;0;0;1;Not Selected;0;Room_Type 1;139;2018;7;28;Online;0;0;0;94.5;1;Not_Canceled;PL
INN00058;2;0;1;2;Meal Plan 1;0;Room_Type 1;117;2018;12;26;Online;0;0;0;93.6;2;Not_Canceled;UK
INN00059;2;0;1;4;Meal Plan 1;0;Room_Type 4;39;2018;4;20;Online;0;0;0;120.6;0;Canceled;UK
INN00060;2;0;0;3;Meal Plan 1;0;Room_Type 4;86;2018;4;6;Online;0;0;0;99.3;1;Not_Canceled;PL
INN00061;2;2;0;1;Meal Plan 1;1;Room_Type 6;2;2018;9;2;Online;0;0;0;258.0;1;Not_Canceled;UK
INN00062;1;0;0;3;Meal Plan 1;0;Room_Type 4;19;2018;5;3;Online;0;0;0;120.12;2;Not_Canceled;PL
INN00063;1;0;0;2;Meal Plan 1;0;Room_Type 1;192;2018;6;24;Offline;0;0;0;95.0;0;Not_Canceled;PL
INN00064;1;0;0;1;Meal Plan 1;0;Room_Type 1;2;2017;9;10;Complementary;0;0;0;0.0;1;Not_Canceled;PL
INN00065;2;0;2;1;Meal Plan 1;0;Room_Type 1;86;2018;12;18;Offline;0;0;0;75.0;0;Not_Canceled;UK
INN00066;2;0;0;3;Meal Plan 1;0;Room_Type 4;30;2018;10;5;Online;0;0;0;157.5;2;Not_Canceled;PL
INN00067;2;0;0;2;Meal Plan 1;0;Room_Type 4;179;2018;6;3;Online;0;0;0;97.7;1;Not_Canceled;PL
INN00068;2;0;0;2;Meal Plan 1;0;Room_Type 4;26;2018;4;15;Online;0;0;0;142.0;0;Canceled;UK
INN00069;2;0;0;1;Meal Plan 1;0;Room_Type 1;55;2018;4;6;Offline;0;0;0;80.0;0;Not_Canceled;UK
INN00070;2;0;1;2;Meal Plan 1;0;Room_Type 1;74;2018;4;25;Online;0;0;0;85.5;1;Not_Canceled;PL
INN00071;2;0;0;3;Meal Plan 1;0;Room_Type 1;143;2018;8;25;Offline;0;0;0;100.0;0;Not_Canceled;UK
INN00072;2;0;1;0;Not Selected;0;Room_Type 1;34;2018;11;14;Online;0;0;0;88.0;2;Not_Canceled;PL
INN00073;2;0;1;1;Meal Plan 1;1;Room_Type 1;30;2018;8;29;Online;0;0;0;122.85;1;Not_Canceled;PL
INN00074;2;0;0;2;Meal Plan 1;0;Room_Type 1;177;2018;6;3;Online;0;0;0;100.0;0;Canceled;UK
INN00075;2;0;2;3;Meal Plan 1;0;Room_Type 4;34;2017;10;25;Offline;0;0;0;75.0;0;Not_Canceled;PL
INN00076;2;0;1;4;Meal Plan 1;0;Room_Type 4;18;2018;3;9;Online;0;0;0;116.8;1;Not_Canceled;UK
INN00077;3;0;1;1;Meal Plan 1;0;Room_Type 4;267;2018;12;31;Online;0;0;0;121.5;0;Not_Canceled;PL
INN00078;2;0;1;2;Meal Plan 1;0;Room_Type 1;64;2018;6;27;Online;0;0;0;111.9;1;Not_Canceled;PL
INN00079;3;0;2;5;Meal Plan 1;0;Room_Type 4;155;2018;6;28;Online;0;0;0;121.55;2;Canceled;PL
INN00080;2;0;0;5;Meal Plan 1;0;Room_Type 1;46;2018;3;29;Offline;0;0;0;75.0;1;Not_Canceled;PL
INN00081;2;2;0;2;Meal Plan 1;0;Room_Type 6;83;2018;4;1;Online;0;0;0;159.3;0;Canceled;PL
INN00082;2;0;0;5;Meal Plan 1;0;Room_Type 4;128;2018;10;11;Online;0;0;0;132.3;0;Canceled;UK
INN00083;2;0;2;0;Not Selected;0;Room_Type 1;20;2018;12;25;Online;0;0;0;88.0;2;Not_Canceled;PL
INN00084;2;0;1;4;Meal Plan 1;0;Room_Type 4;40;2018;3;14;Online;0;0;0;98.82;0;Not_Canceled;PL
INN00085;2;0;1;2;Meal Plan 1;1;Room_Type 4;46;2018;3;4;Online;0;0;0;98.3;1;Not_Canceled;PL
INN00086;1;0;1;0;Meal Plan 1;0;Room_Type 1;1;2018;10;17;Online;0;0;0;150.0;2;Not_Canceled;UK
INN00087;2;0;2;3;Not Selected;0;Room_Type 1;196;2018;9;4;Online;0;0;0;96.05;1;Not_Canceled;PL
INN00088;1;0;0;2;Meal Plan 1;0;Room_Type 1;188;2018;6;15;Online;0;0;0;130.0;0;Canceled;UK
INN00089;2;0;0;1;Not Selected;0;Room_Type 1;17;2018;12;10;Online;1;0;5;95.0;0;Not_Canceled;PL
INN00090;2;0;0;3;Meal Plan 1;0;Room_Type 5;146;2018;8;9;Offline;0;0;0;113.56;0;Not_Canceled;PL
INN00091;2;0;1;3;Not Selected;0;Room_Type 1;110;2018;5;5;Online;0;0;0;101.58;1;Not_Canceled;PL
INN00092;2;0;1;2;Meal Plan 1;1;Room_Type 1;68;2018;3;18;Online;0;0;0;105.3;0;Not_Canceled;PL
INN00093;2;0;2;1;Meal Plan 1;0;Room_Type 4;73;2018;4;9;Online;0;0;0;115.8;1;Not_Canceled;PL
INN00094;2;0;0;1;Meal Plan 1;0;Room_Type 4;92;2018;5;19;Online;0;0;0;149.4;1;Not_Canceled;UK
INN00095;2;0;2;5;Meal Plan 1;0;Room_Type 1;171;2018;8;30;Online;0;0;0;111.59;0;Canceled;PL
INN00096;2;1;0;2;Meal Plan 1;1;Room_Type 1;134;2018;8;4;Online;0;0;0;130.5;2;Not_Canceled;PL
INN00097;2;0;0;2;Meal Plan 2;0;Room_Type 1;320;2018;8;18;Online;0;0;0;115.0;1;Canceled;UK
INN00098;2;0;0;4;Meal Plan 1;0;Room_Type 1;118;2018;4;13;Online;0;0;0;90.95;1;Not_Canceled;PL
INN00099;2;0;0;3;Meal Plan 1;0;Room_Type 1;30;2018;11;17;Online;0;0;0;76.08;1;Not_Canceled;PL
INN00100;2;2;1;3;Meal Plan 1;0;Room_Type 6;30;2018;12;22;Online;0;0;0;156.9;0;Not_Canceled;PL
INN00101;2;0;1;0;Not Selected;0;Room_Type 1;189;2018;10;23;Online;0;0;0;85.5;2;Not_Canceled;PL
INN00102;3;0;1;2;Meal Plan 1;0;Room_Type 4;55;2018;5;13;Online;0;0;0;159.3;2;Not_Canceled;UK
INN00103;1;0;0;4;Meal Plan 1;0;Room_Type 1;55;2018;12;13;Online;0;0;0;74.8;2;Not_Canceled;PL
INN00104;2;0;0;1;Meal Plan 1;0;Room_Type 1;16;2017;10;31;Online;0;0;0;95.0;1;Not_Canceled;UK
INN00105;2;0;0;3;Meal Plan 1;0;Room_Type 1;24;2017;10;8;Online;0;0;0;107.0;1;Not_Canceled;PL
INN00106;2;0;0;3;Meal Plan 1;0;Room_Type 1;8;2018;2;16;Offline;0;0;0;64.0;0;Not_Canceled;UK
INN00107;2;0;1;4;Meal Plan 1;1;Room_Type 1;10;2017;11;2;Online;0;0;0;82.95;0;Not_Canceled;PL
INN00108;2;0;1;3;Meal Plan 1;0;Room_Type 4;0;2017;9;21;Online;0;0;0;155.0;1;Not_Canceled;UK
INN00109;2;0;0;1;Not Selected;0;Room_Type 1;12;2018;6;30;Online;0;0;0;101.68;1;Not_Canceled;PL
INN00110;2;0;2;1;Meal Plan 1;0;Room_Type 1;32;2017;9;5;Online;0;0;0;94.5;3;Not_Canceled;PL
INN00111;2;0;0;2;Meal Plan 1;0;Room_Type 1;182;2018;9;30;Online;0;0;0;117.9;2;Canceled;UK
INN00112;2;0;1;0;Not Selected;0;Room_Type 1;1;2018;6;27;Online;0;0;0;127.0;1;Not_Canceled;PL
INN00113;2;0;0;3;Not Selected;0;Room_Type 1;122;2018;6;16;Online;0;0;0;116.1;2;Not_Canceled;UK
INN00114;2;0;2;3;Meal Plan 1;0;Room_Type 1;40;2018;6;30;Online;0;0;0;117.9;1;Not_Canceled;PL
INN00115;2;2;2;2;Meal Plan 1;0;Room_Type 2;116;2018;6;26;Online;0;0;0;184.24;1;Canceled;UK
INN00116;3;0;2;2;Meal Plan 1;1;Room_Type 4;123;2018;8;13;Online;0;0;0;155.7;1;Not_Canceled;PL
INN00117;3;0;2;5;Meal Plan 1;0;Room_Type 4;40;2018;4;22;Online;0;0;0;135.76;0;Canceled;PL
INN00118;2;1;2;5;Meal Plan 1;0;Room_Type 1;105;2018;11;12;Online;0;0;0;102.83;3;Not_Canceled;PL
INN00119;2;0;0;1;Meal Plan 1;0;Room_Type 1;443;2018;4;29;Online;0;0;0;65.0;0;Canceled;PL
INN00120;2;0;2;3;Meal Plan 1;0;Room_Type 1;2;2017;11;14;Online;0;0;0;103.0;1;Not_Canceled;UK
INN00121;2;0;0;3;Meal Plan 1;0;Room_Type 1;317;2018;9;1;Online;0;0;0;106.2;1;Canceled;PL
INN00122;2;0;0;2;Meal Plan 2;0;Room_Type 1;286;2018;9;16;Offline;0;0;0;58.5;0;Not_Canceled;PL
INN00123;2;0;1;3;Meal Plan 1;0;Room_Type 1;68;2018;3;10;Online;0;0;0;73.95;0;Canceled;PL
INN00124;2;0;0;3;Meal Plan 1;0;Room_Type 1;148;2018;5;5;Online;0;0;0;105.3;0;Not_Canceled;PL
INN00125;3;0;2;0;Meal Plan 1;0;Room_Type 4;68;2018;4;24;Online;0;0;0;133.2;2;Not_Canceled;PL
INN00126;2;0;0;2;Meal Plan 1;0;Room_Type 1;30;2018;3;30;Offline;0;0;0;85.5;0;Not_Canceled;PL
INN00127;1;0;0;1;Meal Plan 1;0;Room_Type 1;14;2018;11;3;Online;0;0;0;112.0;1;Canceled;PL
INN00128;2;2;0;2;Meal Plan 1;0;Room_Type 6;110;2018;10;14;Online;0;0;0;190.8;0;Canceled;PL
INN00129;1;0;2;3;Meal Plan 1;0;Room_Type 1;117;2018;6;5;Offline;0;0;0;110.0;0;Not_Canceled;UK
INN00130;2;0;1;4;Meal Plan 1;0;Room_Type 4;85;2018;7;13;Online;0;0;0;91.48;1;Not_Canceled;PL
INN00131;2;0;0;2;Not Selected;0;Room_Type 1;1;2018;10;20;Online;0;0;0;135.0;2;Not_Canceled;UK
INN00132;1;0;1;2;Meal Plan 1;0;Room_Type 1;25;2018;10;17;Online;0;0;0;129.0;2;Not_Canceled;PL
INN00133;2;0;2;4;Not Selected;0;Room_Type 1;289;2018;12;28;Online;0;0;0;70.55;2;Canceled;UK
INN00134;2;0;1;4;Meal Plan 1;0;Room_Type 4;28;2017;10;19;Offline;0;0;0;75.0;0;Not_Canceled;PL
INN00135;1;0;0;4;Not Selected;0;Room_Type 1;80;2018;3;29;Online;0;0;0;72.25;0;Not_Canceled;UK
INN00136;2;0;0;1;Meal Plan 1;0;Room_Type 4;11;2017;10;9;Online;0;0;0;155.0;2;Not_Canceled;UK
INN00137;2;1;1;0;Meal Plan 1;0;Room_Type 1;162;2018;7;25;Online;0;0;0;121.5;2;Canceled;PL
INN00138;2;0;2;5;Meal Plan 1;0;Room_Type 1;155;2018;6;28;Online;0;0;0;90.95;2;Not_Canceled;PL
INN00139;1;0;2;2;Meal Plan 1;0;Room_Type 1;82;2018;5;22;Online;0;0;0;109.65;0;Not_Canceled;UK
INN00140;3;0;2;4;Meal Plan 1;0;Room_Type 4;27;2018;4;15;Online;0;0;0;142.72;0;Canceled;UK
INN00141;1;0;1;2;Meal Plan 1;0;Room_Type 1;13;2018;5;9;Offline;0;0;0;90.0;0;Not_Canceled;PL
INN00142;2;0;0;2;Meal Plan 1;0;Room_Type 1;245;2018;6;17;Online;0;0;0;75.0;0;Canceled;UK
INN00143;2;0;0;2;Meal Plan 1;0;Room_Type 1;11;2018;11;18;Online;0;0;0;111.0;1;Canceled;UK
INN00144;2;0;2;2;Meal Plan 1;0;Room_Type 1;266;2018;10;30;Online;0;0;0;86.7;2;Not_Canceled;UK
INN00145;2;0;1;0;Meal Plan 1;0;Room_Type 1;39;2018;3;28;Online;0;0;0;117.9;1;Not_Canceled;UK
INN00146;1;0;0;2;Meal Plan 1;0;Room_Type 1;13;2018;6;1;Complementary;1;3;5;0.0;1;Not_Canceled;UK
INN00147;2;0;0;4;Not Selected;0;Room_Type 1;112;2018;5;4;Online;0;0;0;101.58;1;Not_Canceled;PL
INN00148;2;0;1;2;Not Selected;0;Room_Type 1;88;2018;4;8;Online;0;0;0;58.9;1;Not_Canceled;UK
INN00149;2;0;0;1;Meal Plan 1;0;Room_Type 1;56;2018;6;8;Offline;0;0;0;120.0;0;Not_Canceled;PL
INN00150;2;0;2;3;Meal Plan 1;0;Room_Type 4;73;2018;4;7;Online;0;0;0;107.1;0;Canceled;UK
INN00151;2;0;1;1;Meal Plan 1;0;Room_Type 1;80;2018;5;2;Online;0;0;0;126.9;1;Not_Canceled;UK
INN00152;2;0;0;3;Meal Plan 1;0;Room_Type 4;130;2018;9;29;Online;0;0;0;139.5;2;Canceled;PL
INN00153;2;0;1;3;Not Selected;0;Room_Type 1;69;2018;4;4;Online;0;0;0;80.75;1;Not_Canceled;UK
INN00154;2;0;0;2;Meal Plan 2;0;Room_Type 1;273;2017;7;17;Online;0;0;0;109.0;0;Canceled;PL
INN00155;2;0;0;1;Meal Plan 2;0;Room_Type 1;55;2018;4;6;Offline;0;0;0;104.0;0;Not_Canceled;PL
INN00156;1;0;0;3;Meal Plan 1;0;Room_Type 1;4;2018;11;1;Corporate;1;1;5;65.0;1;Not_Canceled;PL
INN00157;2;0;0;3;Meal Plan 1;0;Room_Type 4;97;2018;5;24;Online;0;0;0;140.4;0;Not_Canceled;UK
INN00158;2;0;0;3;Meal Plan 1;0;Room_Type 1;44;2018;2;17;Offline;0;0;0;75.0;0;Not_Canceled;UK
INN00159;2;0;0;1;Not Selected;0;Room_Type 1;31;2018;4;14;Online;0;0;0;94.5;0;Canceled;UK
INN00160;2;0;1;0;Not Selected;0;Room_Type 1;0;2018;6;5;Online;0;0;0;109.0;0;Not_Canceled;PL
INN00161;2;0;2;2;Meal Plan 1;0;Room_Type 1;62;2018;11;12;Online;0;0;0;105.0;2;Not_Canceled;UK
INN00162;2;0;2;2;Meal Plan 1;0;Room_Type 4;86;2018;4;17;Online;0;0;0;107.95;1;Not_Canceled;UK
INN00163;3;0;2;2;Meal Plan 1;0;Room_Type 7;3;2018;10;7;Online;0;0;0;215.6;1;Not_Canceled;PL
INN00164;2;0;1;1;Not Selected;0;Room_Type 1;197;2018;8;1;Online;0;0;0;85.5;1;Not_Canceled;PL
INN00165;2;0;0;2;Meal Plan 1;0;Room_Type 1;143;2018;7;12;Online;0;0;0;105.3;2;Not_Canceled;UK
INN00166;1;0;2;1;Meal Plan 2;0;Room_Type 1;23;2018;1;2;Online;0;0;0;1.0;0;Not_Canceled;UK
INN00167;2;0;0;2;Meal Plan 1;0;Room_Type 4;8;2018;6;15;Online;0;0;0;156.0;0;Canceled;PL
INN00168;1;0;0;2;Meal Plan 1;0;Room_Type 1;13;2018;11;16;Online;0;0;0;73.15;1;Not_Canceled;UK
INN00169;2;0;1;2;Meal Plan 1;0;Room_Type 1;280;2018;9;19;Online;0;0;0;110.0;0;Canceled;UK
INN00170;2;1;1;0;Not Selected;0;Room_Type 1;11;2017;9;13;Online;0;0;0;87.4;1;Not_Canceled;PL
INN00171;2;0;0;2;Meal Plan 1;0;Room_Type 1;317;2018;9;15;Online;0;0;0;120.0;0;Canceled;PL
INN00172;2;0;1;2;Not Selected;0;Room_Type 1;185;2018;12;16;Online;0;0;0;79.2;0;Canceled;UK
INN00173;2;0;1;3;Meal Plan 1;0;Room_Type 1;160;2018;6;30;Online;0;0;0;90.95;1;Not_Canceled;PL
INN00174;2;0;0;4;Meal Plan 1;0;Room_Type 1;104;2018;10;18;Online;0;0;0;91.48;1;Not_Canceled;UK
INN00175;2;1;0;1;Meal Plan 1;0;Room_Type 1;11;2018;11;5;Online;0;0;0;150.0;1;Canceled;UK
INN00176;2;0;0;1;Not Selected;0;Room_Type 1;2;2018;3;22;Online;0;0;0;89.0;0;Not_Canceled;PL
INN00177;2;0;1;4;Not Selected;0;Room_Type 1;14;2018;8;17;Online;0;0;0;91.43;1;Not_Canceled;UK
INN00178;2;0;0;2;Meal Plan 1;0;Room_Type 1;22;2018;5;20;Offline;0;0;0;140.0;0;Not_Canceled;PL
INN00179;1;1;2;5;Not Selected;0;Room_Type 1;37;2017;10;24;Online;0;0;0;87.78;0;Not_Canceled;PL
INN00180;2;0;0;2;Meal Plan 2;0;Room_Type 1;292;2018;7;21;Online;0;0;0;115.0;0;Canceled;UK
INN00181;2;0;0;3;Meal Plan 1;0;Room_Type 1;11;2017;9;9;Online;0;0;0;80.85;1;Not_Canceled;PL
INN00182;2;0;1;3;Meal Plan 1;0;Room_Type 1;86;2018;3;31;Online;0;0;0;82.45;1;Not_Canceled;PL
INN00183;2;0;0;1;Not Selected;0;Room_Type 1;109;2018;10;11;Online;0;0;0;108.0;0;Canceled;UK
INN00184;2;0;1;1;Meal Plan 1;0;Room_Type 4;72;2018;4;2;Online;0;0;0;96.3;1;Not_Canceled;PL
INN00185;2;0;1;5;Meal Plan 1;0;Room_Type 1;196;2018;8;22;Online;0;0;0;99.45;0;Canceled;UK
INN00186;2;0;0;2;Meal Plan 1;0;Room_Type 4;56;2018;5;13;Online;0;0;0;140.4;1;Not_Canceled;UK
INN00187;2;0;1;3;Meal Plan 1;0;Room_Type 1;189;2018;8;8;Offline;0;0;0;72.25;0;Not_Canceled;PL
INN00188;2;0;1;4;Meal Plan 1;0;Room_Type 4;126;2018;8;15;Online;0;0;0;126.0;0;Not_Canceled;PL
INN00189;2;0;2;3;Meal Plan 1;0;Room_Type 1;303;2018;8;19;Online;0;0;0;78.0;0;Canceled;PL
INN00190;1;0;2;2;Meal Plan 1;0;Room_Type 4;81;2018;11;6;Online;0;0;0;146.6;1;Not_Canceled;PL
INN00191;2;0;1;2;Meal Plan 1;0;Room_Type 1;54;2018;10;10;Online;0;0;0;118.8;0;Canceled;PL
INN00192;1;0;0;1;Meal Plan 1;0;Room_Type 1;15;2018;10;6;Online;0;0;0;145.0;0;Canceled;PL
INN00193;2;0;0;4;Meal Plan 1;0;Room_Type 1;86;2018;4;6;Online;0;0;0;84.58;0;Canceled;PL
INN00194;2;0;1;2;Meal Plan 2;0;Room_Type 1;161;2018;3;25;Online;0;0;0;130.0;0;Canceled;UK
INN00195;2;0;4;10;Meal Plan 1;0;Room_Type 4;147;2018;8;3;Online;0;0;0;118.88;1;Canceled;UK
INN00196;2;0;1;2;Meal Plan 1;0;Room_Type 1;92;2018;5;30;Offline;0;0;0;101.52;0;Not_Canceled;UK
INN00197;2;0;0;1;Meal Plan 1;0;Room_Type 1;87;2017;9;11;Corporate;0;0;0;100.0;0;Canceled;UK
INN00198;2;0;2;1;Meal Plan 1;0;Room_Type 1;109;2018;3;20;Offline;0;0;0;58.0;0;Not_Canceled;UK
INN00199;2;0;0;4;Meal Plan 1;0;Room_Type 1;127;2018;3;23;Offline;0;0;0;61.5;2;Not_Canceled;UK
INN00200;2;0;1;2;Meal Plan 2;0;Room_Type 1;418;2018;9;26;Online;0;0;0;107.0;0;Canceled;PL
INN00201;2;0;1;4;Not Selected;0;Room_Type 1;156;2018;8;24;Online;0;0;0;87.3;1;Not_Canceled;PL
INN00202;2;0;0;2;Meal Plan 1;0;Room_Type 1;80;2017;7;16;Online;0;0;0;76.5;1;Canceled;PL
INN00203;2;0;2;2;Not Selected;0;Room_Type 1;211;2018;12;16;Online;0;0;0;63.75;0;Canceled;PL
INN00204;2;0;1;2;Meal Plan 1;0;Room_Type 1;273;2018;5;13;Online;0;0;0;95.0;0;Canceled;UK
INN00205;2;0;2;1;Meal Plan 1;0;Room_Type 1;58;2018;11;19;Offline;0;0;0;75.0;1;Not_Canceled;PL
INN00206;2;0;0;3;Meal Plan 1;0;Room_Type 1;433;2018;9;8;Online;0;0;0;70.0;0;Canceled;PL
INN00207;2;0;1;3;Meal Plan 1;0;Room_Type 1;111;2018;5;2;Online;0;0;0;101.58;1;Not_Canceled;PL
INN00208;2;0;2;3;Meal Plan 1;0;Room_Type 1;34;2018;8;21;Offline;0;0;0;85.0;0;Not_Canceled;UK
